;periodo;fecham;cod_01;PatEf
101;201905;2019-05-01 00:00:00;6;6.72677E+11
102;201905;2019-05-01 00:00:00;16;1.25378E+11
103;201905;2019-05-01 00:00:00;21;1.90131E+11
104;201905;2019-05-01 00:00:00;11;33327324004
105;201905;2019-05-01 00:00:00;13;8.03559E+11
106;201905;2019-05-01 00:00:00;24;4.06728E+12
107;201905;2019-05-01 00:00:00;18;4.16956E+12
108;201905;2019-05-01 00:00:00;23;97384105128
109;201905;2019-05-01 00:00:00;5;2.15451E+11
110;201905;2019-05-01 00:00:00;17;6.7012E+11
111;201906;2019-06-01 00:00:00;10;7.89139E+11
112;201906;2019-06-01 00:00:00;3;2.84755E+12
113;201906;2019-06-01 00:00:00;24;4.13732E+12
114;201906;2019-06-01 00:00:00;6;6.83597E+11
115;201906;2019-06-01 00:00:00;23;1.00723E+11
116;201906;2019-06-01 00:00:00;19;3.45102E+12
117;201906;2019-06-01 00:00:00;16;1.25618E+11
118;201906;2019-06-01 00:00:00;17;6.78386E+11
119;201906;2019-06-01 00:00:00;21;1.91479E+11
120;201906;2019-06-01 00:00:00;11;32987096568
121;201906;2019-06-01 00:00:00;5;2.20848E+11
122;201906;2019-06-01 00:00:00;8;2.70358E+12
123;201906;2019-06-01 00:00:00;18;4.20972E+12
124;201906;2019-06-01 00:00:00;20;2.48254E+11
125;201906;2019-06-01 00:00:00;14;2.44202E+11
126;201906;2019-06-01 00:00:00;4;22704616291
127;201906;2019-06-01 00:00:00;13;8.13806E+11
128;201906;2019-06-01 00:00:00;15;4.33192E+12
129;201907;2019-07-01 00:00:00;23;1.05357E+11
130;201907;2019-07-01 00:00:00;10;7.9511E+11
131;201907;2019-07-01 00:00:00;6;6.91619E+11
132;201907;2019-07-01 00:00:00;18;4.21982E+12
133;201907;2019-07-01 00:00:00;8;2.6919E+12
134;201907;2019-07-01 00:00:00;24;4.16258E+12
135;201907;2019-07-01 00:00:00;21;1.93188E+11
136;201907;2019-07-01 00:00:00;5;2.22022E+11
137;201907;2019-07-01 00:00:00;13;8.14733E+11
138;201907;2019-07-01 00:00:00;20;2.52126E+11
139;201907;2019-07-01 00:00:00;19;3.4864E+12
140;201907;2019-07-01 00:00:00;17;6.86589E+11
141;201907;2019-07-01 00:00:00;3;2.83471E+12
142;201907;2019-07-01 00:00:00;16;1.25381E+11
143;201907;2019-07-01 00:00:00;15;4.28939E+12
144;201907;2019-07-01 00:00:00;4;22557458299
145;201907;2019-07-01 00:00:00;14;2.4536E+11
146;201907;2019-07-01 00:00:00;11;32991450941
147;201908;2019-08-01 00:00:00;24;4.19342E+12
148;201908;2019-08-01 00:00:00;23;1.08449E+11
149;201908;2019-08-01 00:00:00;20;2.55933E+11
150;201908;2019-08-01 00:00:00;8;2.75068E+12
151;201908;2019-08-01 00:00:00;19;3.50088E+12
152;201908;2019-08-01 00:00:00;15;4.34061E+12
153;201908;2019-08-01 00:00:00;21;1.95299E+11
154;201908;2019-08-01 00:00:00;4;22605995918
155;201908;2019-08-01 00:00:00;14;2.50138E+11
156;201908;2019-08-01 00:00:00;5;2.23005E+11
157;201908;2019-08-01 00:00:00;16;1.25677E+11
158;201908;2019-08-01 00:00:00;3;2.82688E+12
159;201908;2019-08-01 00:00:00;18;4.40635E+12
