Columna1;periodo;fecham;cod_01;PatEf
99;202006;2020-06-01 00:00:00;3;3,1497E+12
100;202010;2020-10-01 00:00:00;3;3,13546E+12
101;202001;2020-01-01 00:00:00;3;3,12911E+12
102;201910;2019-10-01 00:00:00;3;2,83059E+12
103;202106;2021-06-01 00:00:00;3;3,27909E+12
104;202002;2020-02-01 00:00:00;3;3,14059E+12
105;201911;2019-11-01 00:00:00;3;2,92744E+12
106;201908;2019-08-01 00:00:00;3;2,82688E+12
107;202008;2020-08-01 00:00:00;3;3,134E+12
108;202107;2021-07-01 00:00:00;3;3,2719E+12
109;201912;2019-12-01 00:00:00;3;2,91231E+12
110;202205;2022-05-01 00:00:00;3;3,61908E+12
111;202004;2020-04-01 00:00:00;3;3,12361E+12
112;202007;2020-07-01 00:00:00;3;3,1783E+12
113;202206;2022-06-01 00:00:00;3;3,63317E+12
114;201906;2019-06-01 00:00:00;3;2,84755E+12
115;202103;2021-03-01 00:00:00;3;3,13747E+12
116;202005;2020-05-01 00:00:00;3;3,11732E+12
117;202003;2020-03-01 00:00:00;3;3,11109E+12
118;202101;2021-01-01 00:00:00;3;3,12475E+12
119;202112;2021-12-01 00:00:00;3;3,41125E+12
120;202201;2022-01-01 00:00:00;3;3,3973E+12
121;201901;2019-01-01 00:00:00;3;2,79383E+12
122;202011;2020-11-01 00:00:00;3;3,15827E+12
123;202009;2020-09-01 00:00:00;3;3,13461E+12
124;202202;2022-02-01 00:00:00;3;3,3743E+12
125;202110;2021-10-01 00:00:00;3;3,37702E+12
126;202108;2021-08-01 00:00:00;3;3,29909E+12
127;202207;2022-07-01 00:00:00;3;3,65046E+12
128;202111;2021-11-01 00:00:00;3;3,39101E+12
129;202109;2021-09-01 00:00:00;3;3,35181E+12
130;202105;2021-05-01 00:00:00;3;3,23727E+12
131;202204;2022-04-01 00:00:00;3;3,57541E+12
132;202012;2020-12-01 00:00:00;3;3,14392E+12
133;201902;2019-02-01 00:00:00;3;2,80184E+12
134;202208;2022-08-01 00:00:00;3;3,69902E+12
135;201904;2019-04-01 00:00:00;8;2,71338E+12
136;201911;2019-11-01 00:00:00;8;2,7923E+12
137;202206;2022-06-01 00:00:00;8;3,57891E+12
138;202007;2020-07-01 00:00:00;8;3,18991E+12
139;202010;2020-10-01 00:00:00;8;3,16342E+12
140;202109;2021-09-01 00:00:00;8;3,51784E+12
141;202102;2021-02-01 00:00:00;8;3,28319E+12
142;202006;2020-06-01 00:00:00;8;3,1325E+12
143;202203;2022-03-01 00:00:00;8;3,528E+12
144;201909;2019-09-01 00:00:00;8;2,73082E+12
145;202201;2022-01-01 00:00:00;8;3,65231E+12
146;201905;2019-05-01 00:00:00;8;2,70233E+12
147;202004;2020-04-01 00:00:00;8;3,16496E+12
148;201812;2018-12-01 00:00:00;8;2,67365E+12
149;201912;2019-12-01 00:00:00;8;2,78715E+12
150;202110;2021-10-01 00:00:00;8;3,47154E+12
151;202009;2020-09-01 00:00:00;8;3,1438E+12
152;201906;2019-06-01 00:00:00;8;2,70358E+12
153;202003;2020-03-01 00:00:00;8;3,0686E+12
154;202108;2021-08-01 00:00:00;8;3,43125E+12
155;202005;2020-05-01 00:00:00;8;3,13992E+12
156;201903;2019-03-01 00:00:00;8;2,68145E+12
157;202104;2021-04-01 00:00:00;8;3,34663E+12
158;202107;2021-07-01 00:00:00;8;3,42476E+12
159;202112;2021-12-01 00:00:00;8;3,60739E+12
160;202207;2022-07-01 00:00:00;8;3,60716E+12
161;201902;2019-02-01 00:00:00;8;2,69704E+12
162;202204;2022-04-01 00:00:00;8;3,53967E+12
163;202208;2022-08-01 00:00:00;8;3,78977E+12
164;201901;2019-01-01 00:00:00;8;2,67902E+12
165;202011;2020-11-01 00:00:00;8;3,1957E+12
166;202008;2020-08-01 00:00:00;8;3,08661E+12
167;202101;2021-01-01 00:00:00;8;3,22907E+12
168;202205;2022-05-01 00:00:00;8;3,5961E+12
169;202012;2020-12-01 00:00:00;8;3,22683E+12
170;201910;2019-10-01 00:00:00;8;2,76084E+12
171;202002;2020-02-01 00:00:00;8;2,96225E+12
172;202202;2022-02-01 00:00:00;8;3,55627E+12
173;202105;2021-05-01 00:00:00;8;3,37249E+12
174;201907;2019-07-01 00:00:00;8;2,6919E+12
175;202103;2021-03-01 00:00:00;8;3,28016E+12
176;202111;2021-11-01 00:00:00;8;3,57217E+12
177;201908;2019-08-01 00:00:00;8;2,75068E+12
178;202106;2021-06-01 00:00:00;8;3,40206E+12
179;202001;2020-01-01 00:00:00;8;2,81129E+12
180;202110;2021-10-01 00:00:00;15;5,49621E+12
181;202112;2021-12-01 00:00:00;15;5,81484E+12
182;202004;2020-04-01 00:00:00;15;4,72188E+12
183;201906;2019-06-01 00:00:00;15;4,33192E+12
184;201908;2019-08-01 00:00:00;15;4,34061E+12
185;202003;2020-03-01 00:00:00;15;4,68095E+12
186;202001;2020-01-01 00:00:00;15;4,61506E+12
187;201912;2019-12-01 00:00:00;15;4,47457E+12
188;202002;2020-02-01 00:00:00;15;4,68747E+12
189;202011;2020-11-01 00:00:00;15;5,04644E+12
190;201902;2019-02-01 00:00:00;15;4,21672E+12
191;202005;2020-05-01 00:00:00;15;4,79188E+12
192;201907;2019-07-01 00:00:00;15;4,28939E+12
193;202008;2020-08-01 00:00:00;15;4,97086E+12
194;201910;2019-10-01 00:00:00;15;4,4074E+12
195;201903;2019-03-01 00:00:00;15;4,27914E+12
196;202208;2022-08-01 00:00:00;15;6,13732E+12
197;202007;2020-07-01 00:00:00;15;5,12694E+12
198;202108;2021-08-01 00:00:00;15;5,43648E+12
199;202207;2022-07-01 00:00:00;15;6,0498E+12
200;202006;2020-06-01 00:00:00;15;5,16159E+12
201;202203;2022-03-01 00:00:00;15;5,80347E+12
202;202205;2022-05-01 00:00:00;15;5,94392E+12
203;201905;2019-05-01 00:00:00;15;4,35942E+12
204;202105;2021-05-01 00:00:00;15;5,23881E+12
205;202111;2021-11-01 00:00:00;15;5,67686E+12
206;202010;2020-10-01 00:00:00;15;4,9829E+12
207;202102;2021-02-01 00:00:00;15;5,0999E+12
208;202101;2021-01-01 00:00:00;15;5,04674E+12
209;202202;2022-02-01 00:00:00;15;5,78868E+12
210;201911;2019-11-01 00:00:00;15;4,55484E+12
211;201909;2019-09-01 00:00:00;15;4,34842E+12
212;202204;2022-04-01 00:00:00;15;1,58153E+12
213;202107;2021-07-01 00:00:00;15;5,30874E+12
214;202109;2021-09-01 00:00:00;15;5,56591E+12
215;202012;2020-12-01 00:00:00;15;4,97152E+12
216;202104;2021-04-01 00:00:00;15;5,15156E+12
217;201904;2019-04-01 00:00:00;15;4,29283E+12
218;202106;2021-06-01 00:00:00;15;5,19619E+12
219;202103;2021-03-01 00:00:00;15;5,13263E+12
220;202009;2020-09-01 00:00:00;15;5,0053E+12
221;202201;2022-01-01 00:00:00;15;5,8803E+12
222;202206;2022-06-01 00:00:00;15;6,08719E+12
223;201812;2018-12-01 00:00:00;15;4,18521E+12
224;201901;2019-01-01 00:00:00;15;4,18391E+12
225;201911;2019-11-01 00:00:00;4;23898138697
226;202110;2021-10-01 00:00:00;4;21735406398
227;201812;2018-12-01 00:00:00;4;23402293004
228;202002;2020-02-01 00:00:00;4;23678680804
229;202001;2020-01-01 00:00:00;4;23769180235
230;202107;2021-07-01 00:00:00;4;23690241003
231;202005;2020-05-01 00:00:00;4;23482591781
232;202012;2020-12-01 00:00:00;4;23742602516
233;201912;2019-12-01 00:00:00;4;23882345516
234;202105;2021-05-01 00:00:00;4;23906710912
235;202009;2020-09-01 00:00:00;4;23693702475
236;202010;2020-10-01 00:00:00;4;23675573712
237;202004;2020-04-01 00:00:00;4;23561905562
238;202006;2020-06-01 00:00:00;4;23639541784
239;202104;2021-04-01 00:00:00;4;23615884090
240;202003;2020-03-01 00:00:00;4;23745982851
241;201907;2019-07-01 00:00:00;4;22557458299
242;202007;2020-07-01 00:00:00;4;23669386960
243;202102;2021-02-01 00:00:00;4;23645843209
244;201910;2019-10-01 00:00:00;4;22475464476
245;202109;2021-09-01 00:00:00;4;21772830883
246;201902;2019-02-01 00:00:00;4;23277935947
247;201904;2019-04-01 00:00:00;4;23127540712
248;202103;2021-03-01 00:00:00;4;23609446063
249;201901;2019-01-01 00:00:00;4;23378591239
250;202101;2021-01-01 00:00:00;4;23687030260
251;202108;2021-08-01 00:00:00;4;21936633215
252;202008;2020-08-01 00:00:00;4;23675240857
253;202011;2020-11-01 00:00:00;4;23740085073
254;201903;2019-03-01 00:00:00;4;23223889187
255;201905;2019-05-01 00:00:00;4;23028044964
256;201909;2019-09-01 00:00:00;4;22552695050
257;201906;2019-06-01 00:00:00;4;22704616291
258;202106;2021-06-01 00:00:00;4;23800561383
259;202111;2021-11-01 00:00:00;4;19948693681
260;201908;2019-08-01 00:00:00;4;22605995918
261;201903;2019-03-01 00:00:00;13;7,94266E+11
262;202112;2021-12-01 00:00:00;13;9,14148E+11
263;202009;2020-09-01 00:00:00;13;8,82188E+11
264;202001;2020-01-01 00:00:00;13;8,45721E+11
265;202103;2021-03-01 00:00:00;13;9,13539E+11
266;202005;2020-05-01 00:00:00;13;8,76739E+11
267;201910;2019-10-01 00:00:00;13;8,22497E+11
268;201905;2019-05-01 00:00:00;13;8,03559E+11
269;201907;2019-07-01 00:00:00;13;8,14733E+11
270;201909;2019-09-01 00:00:00;13;8,20574E+11
271;202208;2022-08-01 00:00:00;13;1,07936E+12
272;201904;2019-04-01 00:00:00;13;7,98988E+11
273;202107;2021-07-01 00:00:00;13;9,26999E+11
274;201906;2019-06-01 00:00:00;13;8,13806E+11
275;201912;2019-12-01 00:00:00;13;8,42548E+11
276;202110;2021-10-01 00:00:00;13;9,0111E+11
277;202006;2020-06-01 00:00:00;13;8,69825E+11
278;202002;2020-02-01 00:00:00;13;8,49448E+11
279;202205;2022-05-01 00:00:00;13;1,04255E+12
280;202108;2021-08-01 00:00:00;13;9,32329E+11
281;202008;2020-08-01 00:00:00;13;8,78351E+11
282;202003;2020-03-01 00:00:00;13;8,54509E+11
283;202201;2022-01-01 00:00:00;13;9,73888E+11
284;202007;2020-07-01 00:00:00;13;8,72165E+11
285;202102;2021-02-01 00:00:00;13;9,11182E+11
286;202011;2020-11-01 00:00:00;13;8,96064E+11
287;202202;2022-02-01 00:00:00;13;9,69442E+11
288;201901;2019-01-01 00:00:00;13;7,8812E+11
289;201902;2019-02-01 00:00:00;13;7,90476E+11
290;202101;2021-01-01 00:00:00;13;9,07684E+11
291;202206;2022-06-01 00:00:00;13;1,05312E+12
292;202106;2021-06-01 00:00:00;13;9,19124E+11
293;201812;2018-12-01 00:00:00;13;7,827E+11
294;202105;2021-05-01 00:00:00;13;9,20765E+11
295;202010;2020-10-01 00:00:00;13;8,8952E+11
296;202109;2021-09-01 00:00:00;13;8,99512E+11
297;201908;2019-08-01 00:00:00;13;8,17691E+11
298;202203;2022-03-01 00:00:00;13;9,77861E+11
299;201911;2019-11-01 00:00:00;13;8,32381E+11
300;202111;2021-11-01 00:00:00;13;9,16874E+11
301;202004;2020-04-01 00:00:00;13;8,69327E+11
302;202104;2021-04-01 00:00:00;13;9,14114E+11
303;202207;2022-07-01 00:00:00;13;1,05882E+12
304;202012;2020-12-01 00:00:00;13;9,00158E+11
305;202204;2022-04-01 00:00:00;13;9,93512E+11
306;202005;2020-05-01 00:00:00;23;1,17598E+11
307;201901;2019-01-01 00:00:00;23;88590964038
308;202004;2020-04-01 00:00:00;23;1,13883E+11
309;202006;2020-06-01 00:00:00;23;1,15793E+11
310;202008;2020-08-01 00:00:00;23;1,18901E+11
311;202001;2020-01-01 00:00:00;23;1,03751E+11
312;202111;2021-11-01 00:00:00;23;94797779466
313;201902;2019-02-01 00:00:00;23;88753290624
314;201906;2019-06-01 00:00:00;23;1,00723E+11
315;201812;2018-12-01 00:00:00;23;86841094436
316;202105;2021-05-01 00:00:00;23;1,01913E+11
317;201903;2019-03-01 00:00:00;23;91690969139
318;201908;2019-08-01 00:00:00;23;1,08449E+11
319;202011;2020-11-01 00:00:00;23;1,09471E+11
320;201911;2019-11-01 00:00:00;23;1,00257E+11
321;201905;2019-05-01 00:00:00;23;97384105128
322;201912;2019-12-01 00:00:00;23;1,02697E+11
323;202204;2022-04-01 00:00:00;23;96634804736
324;202107;2021-07-01 00:00:00;23;94721530978
325;201904;2019-04-01 00:00:00;23;92571058068
326;202104;2021-04-01 00:00:00;23;1,01826E+11
327;202101;2021-01-01 00:00:00;23;1,11547E+11
328;202207;2022-07-01 00:00:00;23;0
329;201909;2019-09-01 00:00:00;23;1,03554E+11
330;202102;2021-02-01 00:00:00;23;1,09296E+11
331;201910;2019-10-01 00:00:00;23;99794407741
332;202106;2021-06-01 00:00:00;23;94514723607
333;202012;2020-12-01 00:00:00;23;1,10596E+11
334;202010;2020-10-01 00:00:00;23;1,09815E+11
335;202203;2022-03-01 00:00:00;23;95493879618
336;202112;2021-12-01 00:00:00;23;95263122595
337;202206;2022-06-01 00:00:00;23;99055941294
338;202108;2021-08-01 00:00:00;23;94896731991
339;202201;2022-01-01 00:00:00;23;93286520000
340;202009;2020-09-01 00:00:00;23;1,07576E+11
341;202103;2021-03-01 00:00:00;23;1,06669E+11
342;201907;2019-07-01 00:00:00;23;1,05357E+11
343;202003;2020-03-01 00:00:00;23;1,06569E+11
344;202002;2020-02-01 00:00:00;23;1,02622E+11
345;202208;2022-08-01 00:00:00;23;1,02255E+11
346;202205;2022-05-01 00:00:00;23;99055941294
347;202202;2022-02-01 00:00:00;23;95142554979
348;202109;2021-09-01 00:00:00;23;91105946489
349;202007;2020-07-01 00:00:00;23;1,16852E+11
350;202110;2021-10-01 00:00:00;23;91518440472
351;201905;2019-05-01 00:00:00;24;4,06728E+12
352;201903;2019-03-01 00:00:00;24;4,18343E+12
353;201907;2019-07-01 00:00:00;24;4,16258E+12
354;202104;2021-04-01 00:00:00;24;5,02841E+12
355;202012;2020-12-01 00:00:00;24;5,14384E+12
356;202103;2021-03-01 00:00:00;24;5,16825E+12
357;202207;2022-07-01 00:00:00;24;5,47999E+12
358;202108;2021-08-01 00:00:00;24;4,97591E+12
359;202205;2022-05-01 00:00:00;24;5,55689E+12
360;202107;2021-07-01 00:00:00;24;5,01358E+12
361;202009;2020-09-01 00:00:00;24;5,15762E+12
362;201904;2019-04-01 00:00:00;24;4,01517E+12
363;202202;2022-02-01 00:00:00;24;5,5305E+12
364;202001;2020-01-01 00:00:00;24;4,47087E+12
365;202006;2020-06-01 00:00:00;24;5,28021E+12
366;202101;2021-01-01 00:00:00;24;5,17898E+12
367;202105;2021-05-01 00:00:00;24;5,05077E+12
368;202201;2022-01-01 00:00:00;24;5,59723E+12
369;202011;2020-11-01 00:00:00;24;5,0375E+12
370;201906;2019-06-01 00:00:00;24;4,13732E+12
371;202003;2020-03-01 00:00:00;24;4,5846E+12
372;201912;2019-12-01 00:00:00;24;4,3044E+12
373;202008;2020-08-01 00:00:00;24;5,14769E+12
374;202102;2021-02-01 00:00:00;24;5,16267E+12
375;201901;2019-01-01 00:00:00;24;4,1158E+12
376;201911;2019-11-01 00:00:00;24;4,24466E+12
377;202206;2022-06-01 00:00:00;24;5,57406E+12
378;202111;2021-11-01 00:00:00;24;5,11461E+12
379;201910;2019-10-01 00:00:00;24;4,21329E+12
380;202204;2022-04-01 00:00:00;24;5,44102E+12
381;202007;2020-07-01 00:00:00;24;5,39935E+12
382;202208;2022-08-01 00:00:00;24;5,69522E+12
383;202106;2021-06-01 00:00:00;24;4,97313E+12
384;201812;2018-12-01 00:00:00;24;4,10166E+12
385;202004;2020-04-01 00:00:00;24;4,93829E+12
386;202005;2020-05-01 00:00:00;24;5,03214E+12
387;201902;2019-02-01 00:00:00;24;4,1494E+12
388;202110;2021-10-01 00:00:00;24;4,90706E+12
389;202203;2022-03-01 00:00:00;24;5,59532E+12
390;202112;2021-12-01 00:00:00;24;5,18436E+12
391;202109;2021-09-01 00:00:00;24;4,9526E+12
392;202010;2020-10-01 00:00:00;24;5,21897E+12
393;202002;2020-02-01 00:00:00;24;4,49694E+12
394;201909;2019-09-01 00:00:00;24;4,21489E+12
395;201908;2019-08-01 00:00:00;24;4,19342E+12
396;202001;2020-01-01 00:00:00;19;3,28875E+12
