Columna1;fecham;cod_01;cod_02;tot_deuda;periodo
112;01-09-2019 0:00;4;18;6200301389;201909
113;01-09-2019 0:00;18;15;100000000000;201909
114;01-09-2019 0:00;10;8;183348391;201909
115;01-09-2019 0:00;16;19;5419727306;201909
116;01-09-2019 0:00;23;19;17495301971;201909
117;01-09-2019 0:00;10;19;677482103;201909
118;01-09-2019 0:00;4;3;6571774502;201909
119;01-09-2019 0:00;6;13;30000000000;201909
120;01-09-2019 0:00;10;13;276055023;201909
121;01-09-2019 0:00;24;6;56667;201909
122;01-10-2019 0:00;8;17;54166;201910
123;01-10-2019 0:00;3;4;761698628;201910
124;01-10-2019 0:00;4;18;2400200000;201910
125;01-10-2019 0:00;18;15;150007000000;201910
126;01-10-2019 0:00;23;8;14826338805;201910
127;01-10-2019 0:00;18;8;100005000000;201910
128;01-10-2019 0:00;16;19;5395003833;201910
129;01-10-2019 0:00;10;19;286447389;201910
130;01-10-2019 0:00;4;19;6657669306;201910
131;01-10-2019 0:00;18;19;100005000000;201910
132;01-10-2019 0:00;23;19;17844857608;201910
133;01-10-2019 0:00;18;3;100005000000;201910
134;01-10-2019 0:00;4;3;6683921776;201910
135;01-10-2019 0:00;10;13;279615997;201910
136;01-10-2019 0:00;18;23;20000972222;201910
137;01-10-2019 0:00;24;6;113333;201910
138;01-11-2019 0:00;4;18;5450454167;201911
139;01-11-2019 0:00;10;8;121303049;201911
140;01-11-2019 0:00;23;8;16240894276;201911
141;01-11-2019 0:00;23;19;19548384869;201911
142;01-11-2019 0:00;16;19;6166689771;201911
143;01-11-2019 0:00;10;19;313473437;201911
144;01-11-2019 0:00;18;19;100005000000;201911
145;01-11-2019 0:00;4;19;7313538406;201911
146;01-11-2019 0:00;4;3;7342372685;201911
147;01-12-2019 0:00;4;18;3900325000;201912
148;01-12-2019 0:00;23;8;15104695944;201912
149;01-12-2019 0:00;10;8;112990918;201912
150;01-12-2019 0:00;10;19;172529271;201912
151;01-12-2019 0:00;16;19;5557714570;201912
152;01-12-2019 0:00;4;19;6796892424;201912
153;01-12-2019 0:00;18;24;150007000000;201912
154;01-12-2019 0:00;4;24;7000680556;201912
155;01-12-2019 0:00;24;6;170000;201912
156;01-01-2020 0:00;19;15;50000000000;202001
157;01-01-2020 0:00;18;15;150000000000;202001
158;01-01-2020 0:00;23;8;16122673541;202001
159;01-01-2020 0:00;18;19;100000000000;202001
160;01-01-2020 0:00;16;19;5926590382;202001
161;01-01-2020 0:00;18;24;100000000000;202001
162;01-01-2020 0:00;19;23;10000000000;202001
163;01-01-2020 0:00;24;6;226667;202001
164;01-02-2020 0:00;24;16;1174650;202002
165;01-02-2020 0:00;4;18;250020833;202002
166;01-02-2020 0:00;18;15;160008000000;202002
167;01-02-2020 0:00;23;8;16569224975;202002
168;01-02-2020 0:00;16;19;6075734086;202002
169;01-02-2020 0:00;4;3;6000583333;202002
170;01-02-2020 0:00;18;3;100005000000;202002
171;01-02-2020 0:00;24;6;170000;202002
172;01-03-2020 0:00;24;16;2074265;202003
173;01-03-2020 0:00;3;4;500106667;202003
174;01-03-2020 0:00;18;15;160000000000;202003
175;01-03-2020 0:00;23;8;17307737221;202003
176;01-03-2020 0:00;10;8;181348475;202003
177;01-03-2020 0:00;16;19;6313992103;202003
178;01-03-2020 0:00;24;6;906667;202003
179;01-04-2020 0:00;24;16;94284;202004
180;01-04-2020 0:00;10;8;176995314;202004
181;01-04-2020 0:00;23;8;16703317554;202004
182;01-04-2020 0:00;10;19;128500840;202004
183;01-04-2020 0:00;18;24;150000000000;202004
184;01-04-2020 0:00;18;23;15000000000;202004
185;01-04-2020 0:00;24;6;906667;202004
186;01-05-2020 0:00;24;16;222364;202005
187;01-05-2020 0:00;4;18;3300068750;202005
188;01-05-2020 0:00;10;8;170818618;202005
189;01-05-2020 0:00;23;8;16161269694;202005
190;01-05-2020 0:00;10;19;124016481;202005
191;01-05-2020 0:00;24;6;982222;202005
192;01-06-2020 0:00;24;16;1525629;202006
193;01-06-2020 0:00;4;18;3800026389;202006
194;01-06-2020 0:00;24;18;4832313521;202006
195;01-06-2020 0:00;23;8;16467815684;202006
196;01-06-2020 0:00;24;23;2346009868;202006
197;01-06-2020 0:00;24;6;982222;202006
198;01-07-2020 0:00;24;16;50755;202007
199;01-07-2020 0:00;3;4;272541600;202007
200;01-07-2020 0:00;4;18;4300029861;202007
201;01-07-2020 0:00;24;18;4680895376;202007
202;01-07-2020 0:00;23;8;15223975202;202007
