0;0;162.704;217.580;219.070;0;54.416;0;173.931;214.409;0;48.822;2.253;4.355;0;0;0;0
0;0;0;0;0;0;14.534;0;0;0;0;0;0;0;0;0;0;0
198.387;3.447;0;237.943;111.964;0;356.394;0;119.855;438.429;0;215.117;10.271;0;165.534;0;0;0
2.705;0;1.428;0;10.665;0;4.465;0;52.552;22.426;0;8.834;0;0;19.458;0;0;0
119.342;6.525;270.869;218.329;0;0;21.233;0;166.617;14.708;0;36.703;72.366;2.216;4.387;0;0;0
7.100;0;0;0;0;0;0;0;7.100;0;0;0;0;0;0;0;0;0
135;0;0;0;0;0;0;0;207;0;0;2;0;0;0;0;0;0
0;0;0;24.277;0;0;0;0;0;14.648;0;0;0;0;0;0;0;0
4.761;0;13.181;48;30;0;6;0;0;173;0;145;270;198;0;0;0;0
193.352;0;172.287;90.699;69.700;0;0;0;55.006;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;25;13.230;4.355;235;0;47;0;201;775;0;0;2.404;32.722;1.430;3.553;0;0
19.431;0;17.464;15.485;24.969;0;36.654;0;2.948;29.550;0;9.129;0;615;12.604;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;5.420;4.828;9.398;1.486;0;4.297;0;0;1.228;0;11.408;0;22.093;0;15.162;0;0
10.424;0;0;0;0;0;0;0;0;0;0;0;0;8.092;156;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.537;0;5.234;0;22.033;0;0;0;0;0;0;0;0;0;0;0;0;0
